arXiv ID,submitted_at,title,presence_of vendor_author,thema1,thema2,vendor_of_the_used_machine,max_qubit_count
1603.04821v1,2016-03-15,Procedure for systematically tuning up crosstalk in the cross resonance   gate,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,2
1605.01351v3,2016-05-04,Demonstration of weight-four parity measurements in the surface code   architecture,TRUE,(D) Quantum error correction,,IBM,5
1605.04220v2,2016-05-13,Experimental test of Mermin inequalities on a 5-qubit quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
1605.05709v4,2016-05-18,Performing Quantum Computing Experiments in the Cloud,FALSE,(D) Quantum error correction,,IBM,5
1605.08922v4,2016-05-28,Quantum phase space measurement and entanglement validation made easy,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
1606.00077v3,2016-06-01,Chiral groundstate currents of interacting photons in a synthetic   magnetic field,TRUE,(F2) Applications: condensed matter physics,,Google,3
1607.02398v2,2016-07-08,A quantum teleportation experiment for undergraduate students,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,3
1607.08778v3,2016-07-29,Observation of topological Uhlmann phases with superconducting qubits,TRUE,(F2) Applications: condensed matter physics,,IBM,3
1609.05957v1,2016-09-19,Leggett-Garg test of superconducting qubit addressing the clumsiness   loophole,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
1609.07459v2,2016-09-23,Demonstration of entanglement assisted invariance on IBM's Quantum   Experience,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
1609.07774v3,2016-09-25,Demonstrating non-Abelian braiding of surface code defects in a five   qubit experiment,FALSE,(D) Quantum error correction,,IBM,5
1610.06980v2,2016-10-22,The IBM Quantum Computer and the IBM Quantum Experience,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,3
1611.06946v2,2016-11-21,Fault-tolerant quantum error detection,TRUE,(D) Quantum error correction,,IonQ,5
1611.07851v2,2016-11-23,Approximate Quantum Adders with Genetic Algorithms: An IBM Quantum   Experience,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,3
1612.08091v2,2016-12-23,ProjectQ: An Open Source Software Framework for Quantum Computing,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,3
1701.02970v1,2017-01-11,Compressed quantum computation using the IBM Quantum Experience,FALSE,(F2) Applications: condensed matter physics,,IBM,2
1702.01852v1,2017-02-07,Experimental Comparison of Two Quantum Computing Architectures,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IonQ,4
1703.10535v1,2017-03-30,Complete 3-Qubit Grover Search on a Programmable Quantum Computer,TRUE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IonQ,4
1703.10793v2,2017-03-31,Implementing a distance-based classifier with a quantum interference   circuit,FALSE,(F1) Applications: quantum machine learning,,IBM,4
1704.05018v2,2017-04-17,Hardware-efficient Variational Quantum Eigensolver for Small Molecules   and Quantum Magnets,TRUE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",(F3) Applications: quantum chemistry,IBM,6
1704.05294v1,2017-04-18,Design and experimental realization of an optimal scheme for teleportion   of an $n$-qubit quantum state,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1705.00670v2,2017-05-01,Experimental realization of nondestructive discrimination of Bell states   using a five-qubit quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1705.08957v3,2017-05-24,Is error detection helpful on IBM 5Q chips ?,FALSE,(D) Quantum error correction,,IBM,5
1705.09259v1,2017-05-25,Experimental demonstration of fault-tolerant state preparation with   superconducting qubits,TRUE,(D) Quantum error correction,,IBM,5
1706.04341v1,2017-06-14,Benchmarking gate-based quantum computers,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,5
1706.08080v1,2017-06-25,Efficient universal quantum channel simulation in IBM's cloud quantum   computer,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,4
1707.00182v2,2017-07-01,Experimental realization of quantum cheque using a five-qubit quantum   computer,FALSE,(F4) Applications: finance,,IBM,5
1707.07460v3,2017-07-24,Experimental Realization of Secure Multiparty Quantum Summation Using   Five-Qubit IBM Quantum Computer on Cloud,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
1707.09462v3,2017-07-29,Demonstration of the No-Hiding Theorem on the 5 Qubit IBM Quantum   Computer in a Category Theoretic Framework,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1708.02297v1,2017-08-07,Automated Error Correction in IBM Quantum Computer and Explicit   Generalization,FALSE,(D) Quantum error correction,,IBM,5
1708.06375v3,2017-08-21,Generalization and Demonstration of an Entanglement Based Deutsch-Jozsa   Like Algorithm Using a 5-Qubit Quantum Computer,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,5
1708.07900v2,2017-08-25,Optimization and experimental realization of the quantum permutation   algorithm,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,3
1709.01866v3,2017-09-06,Protecting quantum memories using coherent parity check codes,FALSE,(D) Quantum error correction,,IBM,4
1709.05697v3,2017-09-17,Experimental Demonstration of Non-local Controlled-Unitary Quantum Gates   Using a Five-qubit Quantum Computer,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,4
1709.06600v2,2017-09-19,Gate-error analysis in simulations of quantum computers with transmon   qubits,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,2
1709.06678v1,2017-09-19,A blueprint for demonstrating quantum supremacy with superconducting   qubits,TRUE,(F8) Applications: simulating quantum mechanics,,Google,9
1709.07108v2,2017-09-21,Spectral signatures of many-body localization with interacting photons,TRUE,(F2) Applications: condensed matter physics,,Google,9
1709.07987v2,2017-09-23,Separability Criterion for Quantum Effects,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1710.10717v4,2017-10-29,Experimental Realization of Quantum Violation of Entropic Noncontextual   Inequality in Four Dimension Using IBM Quantum Computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1711.09442v2,2017-11-26,Quantum Artificial Life in an IBM Quantum Computer,FALSE,(F13) Applications: others,,IBM,4
1712.00854v2,2017-12-03,Demonstration of Entanglement Purification and Swapping Protocol to   Design Quantum Repeater in IBM Quantum Computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
1712.05642v4,2017-12-15,Five Experimental Tests on the 5-Qubit IBM Quantum Computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,3
1712.05771v1,2017-12-15,Unsupervised Machine Learning on a Hybrid Quantum Computer,TRUE,(F5) Applications: optimization (QAOA),,Rigetti,19
1712.06550v2,2017-12-18,Three Qubit Randomized Benchmarking,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,3
1712.07080v2,2017-12-19,Decoherence of up to 8-qubit entangled states in a 16-qubit   superconducting quantum processor,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,8
1712.07326v5,2017-12-20,Experimental Demonstration of Quantum Tunneling in IBM Quantum Computer,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,3
1712.08424v1,2017-12-22,Realization of t-bit semiclassical quantum Fourier transform on IBM's   quantum cloud computer,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,3
